mean,stdev,variance,skew,kurtosis,max,min,rms,en,fine_stdev,label
115.0970,15.1101,228.3152,0.0633,-1.9077,130.8000,101.5600,115.8385,13418.5558,12.1582,ECU0
112.1710,12.4963,156.1569,1.1125,-0.6994,130.8000,104.3120,112.6918,12699.4509,13.1214,ECU0
95.0150,3.1246,9.7631,-0.9435,-0.8047,97.5560,90.4720,95.0535,9035.1725,3.1246,ECU0
110.0100,2.9809,8.8856,0.7490,-1.0667,114.1680,107.7000,110.0403,12108.8643,2.9809,ECU0
101.4830,3.3962,11.5339,-0.0785,-0.9986,105.5640,97.2480,101.5256,10307.4497,3.3962,ECU0
93.7060,3.0020,9.0121,-0.6983,-1.0622,96.3240,89.5480,93.7421,8787.5735,3.0020,ECU0
109.7020,2.9381,8.6326,-0.3458,-1.0352,112.9360,105.8520,109.7315,12041.0033,2.9381,ECU0
97.8640,3.2499,10.5615,0.0531,-1.8835,101.2520,94.7840,97.9045,9585.2836,3.2499,ECU0
115.0250,15.6620,245.2990,0.0432,-1.9426,130.8000,101.5600,115.8220,13414.7249,4.4233,ECU0
101.0980,3.1661,10.0240,0.0000,-1.0560,104.9480,97.2480,101.1352,10228.3236,3.1661,ECU0
110.1790,12.8182,164.3070,0.9878,-0.7682,128.9520,100.0200,110.7368,12262.6423,3.7417,ECU0
94.3220,3.3125,10.9726,-0.3314,-1.4285,97.5560,90.1640,94.3656,8904.8691,3.3125,ECU0
106.2370,3.2144,10.3323,-0.0400,-1.7646,109.5480,102.7720,106.2735,11294.0494,3.2144,ECU0
112.7050,12.1478,147.5689,1.1079,-0.7053,130.8000,105.2360,113.1949,12813.0937,12.1478,ECU0
94.3990,3.5509,12.6090,-0.1286,-1.8211,97.5560,90.4720,94.4491,8920.6280,3.5509,ECU0
101.0210,4.0423,16.3403,-0.0648,-1.0335,105.8720,96.0160,101.0816,10217.4977,4.0423,ECU0
115.8620,16.3342,266.8050,0.0000,-2.0000,127.4120,104.3120,116.4363,13557.4055,16.3342,ECU0
96.1700,1.6776,2.8143,-0.2573,-1.6647,97.5560,94.1680,96.1810,9250.7796,1.6776,ECU0
91.6270,4.1351,17.0992,-0.5111,-1.2699,95.4000,86.1600,91.6970,8408.3316,4.1351,ECU0
110.6260,13.5438,183.4354,1.1081,-0.7064,130.8000,102.7720,111.2461,12375.6884,13.5438,ECU0
88.3930,2.3507,5.5258,-0.5750,-1.2152,90.4720,85.2360,88.4164,7817.4668,2.3507,ECU0
110.3230,13.7823,189.9531,1.0899,-0.7169,130.8000,101.2320,110.9668,12313.6292,15.1857,ECU0
104.7020,2.7619,7.6283,-0.2480,-1.2595,107.7000,101.2320,104.7293,10968.2301,11.1008,ECU0
98.3260,3.8180,14.5774,-0.5528,-1.2772,101.5600,93.2440,98.3816,9678.9354,3.8180,ECU0
109.3320,14.5508,211.7268,1.0479,-0.7615,130.8000,100.0200,110.0558,12112.2813,5.0484,ECU0
97.0940,2.7376,7.4943,0.3421,-1.1634,100.6360,94.1680,97.1229,9432.8655,2.7376,ECU0
97.2480,3.0387,9.2334,-0.3463,-0.9732,100.6360,93.2440,97.2836,9464.0986,3.0387,ECU0
96.6320,2.7202,7.3994,0.1743,-1.1929,100.0200,93.5520,96.6607,9343.2930,2.7202,ECU0
93.0900,2.6674,7.1148,-0.3911,-0.9741,96.0160,89.5480,93.1187,8671.0842,2.6674,ECU0
106.3290,13.3363,177.8582,1.1014,-0.7055,126.1800,97.5560,106.9544,11439.2499,3.6302,ECU0
90.5490,3.0633,9.3836,-0.8754,-0.9135,92.9360,86.1600,90.5879,8206.1591,3.0633,ECU0
99.4810,2.3641,5.5891,-1.0006,-0.7826,101.2520,96.0160,99.5021,9900.6612,2.3641,ECU0
97.2480,2.8783,8.2848,1.1460,-0.6737,101.5600,95.7080,97.2799,9463.3871,2.8783,ECU0
96.3240,3.4020,11.5734,0.1560,-1.0000,100.6360,92.3200,96.3690,9286.9930,3.4020,ECU0
92.5510,3.6562,13.3679,-0.7432,-0.8766,96.0160,87.3920,92.6051,8575.7135,3.6562,ECU0
97.9410,3.5509,12.6090,-0.5044,-1.2505,101.2520,93.2440,97.9893,9601.8962,3.5509,ECU0
96.7090,2.2825,5.2096,0.9225,-0.7995,100.0200,94.7840,96.7292,9356.5379,2.2825,ECU0
92.7050,3.1946,10.2058,-0.2363,-1.0822,96.3240,88.6240,92.7463,8601.8714,3.1946,ECU0
101.0980,3.8837,15.0834,0.6450,-0.9192,106.4880,97.2480,101.1539,10232.1181,3.8837,ECU0
99.4040,2.7777,7.7156,-0.9068,-0.8777,101.5600,95.4000,99.4331,9886.9419,2.7777,ECU0
94.7070,2.0488,4.1977,0.2780,-1.4266,97.2480,92.6280,94.7236,8972.5641,2.0488,ECU0
99.5580,2.4447,5.9764,-0.9237,-0.8242,101.5600,96.0160,99.5805,9916.2777,2.4447,ECU0
89.5480,3.6702,13.4707,-0.1037,-1.4814,93.5520,85.2360,89.6044,8028.9473,3.6702,ECU0
88.3930,3.1548,9.9528,0.0834,-1.0236,92.3200,84.6200,88.4352,7820.7871,3.1548,ECU0
109.7790,12.8879,166.0990,1.0977,-0.7082,128.9520,101.2320,110.3449,12176.0031,12.8879,ECU0
114.8710,15.6782,245.8050,0.0488,-1.9347,130.8000,101.2520,115.6707,13379.7004,4.4801,ECU0
111.0930,13.5332,183.1484,1.0554,-0.7307,131.1080,101.2320,111.7095,12479.0159,14.7527,ECU0
111.1650,3.9553,15.6447,-1.1501,-0.6703,113.2440,105.2360,111.2178,12369.3907,3.9553,ECU0
110.3950,10.5123,110.5087,1.0296,-0.7612,125.8720,102.7720,110.7698,12269.9375,10.5123,ECU0
116.6320,14.8246,219.7683,0.0258,-1.9651,131.1080,103.6960,117.3365,13767.8496,14.8246,ECU0
116.4780,15.4748,239.4684,0.0000,-1.9979,130.1840,102.7720,117.2464,13746.7258,15.4748,ECU0
109.8710,14.1112,199.1250,1.0807,-0.7312,130.8000,101.2520,110.5485,12220.9804,4.4801,ECU0
108.0850,2.4816,6.1583,-0.7426,-1.0380,110.1640,104.6200,108.1064,11686.9859,2.4816,ECU0
106.3140,2.4959,6.2294,0.3646,-1.1932,109.5480,103.6960,106.3360,11307.3386,2.4959,ECU0
113.6290,11.4483,131.0625,1.1541,-0.6671,130.8000,107.7000,114.0607,13009.8465,11.4483,ECU0
94.3220,2.7606,7.6207,0.0000,-1.7521,97.2480,91.3960,94.3523,8902.3552,2.7606,ECU0
97.8640,3.8469,14.7988,-0.1896,-1.4986,101.8680,93.2440,97.9207,9588.4616,3.8469,ECU0
93.3210,5.6646,32.0877,-0.8626,-0.9503,97.2480,85.2360,93.4499,8732.8749,5.6646,ECU0
114.0140,10.9892,120.7619,0.0760,-1.8993,125.5640,104.6200,114.4105,13089.7636,10.9892,ECU0
110.8620,11.8898,141.3677,1.1341,-0.6818,128.6440,103.6960,111.3392,12396.4088,13.2225,ECU0
106.7760,1.9480,3.7946,-0.3651,-1.4267,108.6240,104.3120,106.7893,11403.9601,1.9480,ECU0
91.0110,3.1448,9.8896,-0.6011,-1.2354,93.5520,86.7760,91.0517,8290.4193,3.1448,ECU0
91.7810,3.1043,9.6366,0.1535,-1.6160,95.4000,88.6240,91.8204,8430.9794,3.1043,ECU0
108.1620,3.9802,15.8423,0.8390,-0.8474,113.8600,104.6200,108.2169,11710.9000,3.9802,ECU0
111.3240,12.9949,168.8680,1.1489,-0.6712,130.8000,104.3120,111.8914,12519.6840,13.8589,ECU0
116.8680,13.0842,171.1973,0.0882,-1.8827,130.8000,105.5640,117.4160,13786.5274,10.9762,ECU0
94.2450,1.0176,1.0356,0.1321,-1.7159,95.4000,93.2440,94.2491,8882.8967,1.0176,ECU0
113.7060,14.1563,200.4002,0.0000,-2.0000,123.7160,103.6960,114.1458,13029.2545,14.1563,ECU0
101.4830,3.6562,13.3679,0.2177,-0.9894,106.1800,97.2480,101.5324,10308.8252,3.6562,ECU0
96.5550,3.2242,10.3955,0.9682,-0.8239,101.2520,94.1680,96.5954,9330.6647,3.2242,ECU0
89.0860,3.1259,9.7710,-0.2474,-1.4234,92.3200,85.2360,89.1271,7943.6436,3.1259,ECU0
90.3950,3.4789,12.1031,-0.4732,-1.3292,93.5520,85.8520,90.4452,8180.3333,3.4789,ECU0
108.0230,15.2062,231.2276,1.1450,-0.6744,130.8000,99.7120,108.8227,11842.3892,5.2473,ECU0
89.8560,4.8177,23.2101,-0.0163,-1.9729,94.1680,85.2360,89.9528,8091.5083,4.8177,ECU0
97.6330,2.9795,8.8777,0.8394,-0.9684,101.8680,95.4000,97.6671,9538.8610,2.9795,ECU0
112.7050,12.3977,153.7034,0.9671,-0.7863,130.8000,102.7720,113.2153,12817.6946,12.3977,ECU0
91.1650,4.4305,19.6289,0.0214,-1.8722,95.7080,86.7760,91.2457,8325.7789,4.4305,ECU0
110.9390,13.3010,176.9169,1.1235,-0.6906,130.8000,102.7720,111.5354,12440.1494,14.4692,ECU0
90.4720,3.4390,11.8264,0.0946,-1.8648,94.1680,87.3920,90.5210,8194.0526,3.4390,ECU0
108.7930,12.8588,165.3485,1.0322,-0.7719,127.7200,100.0200,109.3615,11959.9282,3.6040,ECU0
91.4730,2.6895,7.2334,-0.7750,-1.0363,93.5520,87.7000,91.5026,8372.7348,2.6895,ECU0
110.0250,13.9886,195.6803,1.0891,-0.7234,130.8000,101.5600,110.6899,12252.2609,4.3221,ECU0
96.7860,2.5708,6.6089,0.3098,-1.3678,100.0200,94.1680,96.8116,9372.4864,2.5708,ECU0
99.0190,2.0020,4.0080,-1.1547,-0.6667,100.0200,96.0160,99.0342,9807.7684,2.0020,ECU0
89.3940,3.5252,12.4272,0.5422,-1.0415,94.1680,85.8520,89.4461,8000.6076,3.5252,ECU0
98.4030,2.4039,5.7788,-0.3415,-1.4889,100.6360,95.4000,98.4250,9687.4845,2.4039,ECU0
107.7000,3.4755,12.0793,-0.7956,-0.9123,110.7800,102.7720,107.7421,11608.3495,3.4755,ECU0
183.4850,2.9475,8.6880,-0.0163,-1.9639,186.1800,180.6360,183.5028,33673.2612,2.9475,ECU0
98.3260,3.2254,10.4034,0.0362,-1.9400,101.5600,95.4000,98.3657,9675.8048,3.2254,ECU0
91.0110,2.1394,4.5772,-0.0693,-1.6838,93.2440,88.6240,91.0299,8286.4350,2.1394,ECU0
99.7120,2.9381,8.6326,-0.6984,-1.5000,101.5600,96.3240,99.7409,9948.2380,2.9381,ECU0
111.8580,12.6605,160.2885,1.1372,-0.6807,130.8000,104.6200,112.3941,12632.4286,12.6605,ECU0
95.1690,3.7501,14.0636,0.3935,-1.2682,100.0200,91.3960,95.2244,9067.6863,3.7501,ECU0
116.8630,14.3837,206.8905,0.0171,-1.9621,130.8000,103.6960,117.5250,13812.1286,14.3837,ECU0
110.9390,13.3154,177.3005,1.1165,-0.6973,130.8000,102.7720,111.5367,12440.4371,14.6235,ECU0
89.8560,3.5476,12.5853,-0.3854,-1.1818,93.5520,85.2360,89.9085,8083.5397,3.5476,ECU0
105.8520,1.6870,2.8459,0.2811,-1.1659,108.0080,104.0040,105.8621,11206.7803,1.6870,ECU0
109.0860,3.8837,15.0834,-0.3732,-1.1057,113.2440,104.0040,109.1378,11911.0679,3.8837,ECU0
94.0910,9.4811,89.8915,-0.9607,-0.8460,100.6360,80.3080,94.4486,8920.5349,9.4811,ECU0
109.9380,13.9444,194.4464,1.1364,-0.6798,130.8000,101.5600,110.5993,12232.1986,13.5181,ECU0
98.2490,3.0112,9.0674,0.1070,-1.8066,101.5600,95.4000,98.2836,9659.6666,3.0112,ECU0
123.2590,15.0820,227.4667,-1.1547,-0.6667,130.8000,100.6360,123.9491,15363.3811,5.0820,ECU0
98.0950,3.6302,13.1782,-0.5276,-1.1785,101.5600,93.2440,98.1454,9632.5127,3.6302,ECU0
